                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.61755,                0.34234,                0.80547,                0.92045,                0.91959,                 0.9492,                0.65734,                0.98603,                0.44456,                0.85286,             0.00063279,             0.00063279,             0.00063279
                     97,                0.62046,                0.33979,                0.80717,                0.95706,                0.90625,                0.95201,                0.66349,                0.98151,                0.43257,                0.84825,             0.00062179,             0.00062179,             0.00062179
                     98,                0.60327,                0.33979,                  0.806,                0.93291,                 0.9375,                0.95476,                0.66779,                0.97509,                  0.428,                0.85432,             0.00061079,             0.00061079,             0.00061079
                     99,                 0.6222,                0.34052,                0.80635,                0.93152,                 0.9375,                0.95665,                0.65918,                0.96696,                0.42432,                0.85388,             0.00059979,             0.00059979,             0.00059979
                    100,                0.60732,                0.33302,                0.80147,                0.93666,                 0.9131,                0.95567,                0.66429,                0.94971,                0.42194,                0.84904,             0.00058878,             0.00058878,             0.00058878
                    101,                0.59885,                0.33203,                0.80068,                0.93464,                0.89124,                0.95468,                0.66727,                0.94245,                0.41139,                0.84515,             0.00057778,             0.00057778,             0.00057778
                    102,                0.59131,                0.31696,                0.80932,                 0.9271,                0.90815,                0.95821,                0.66913,                 0.9743,                0.41961,                0.84991,             0.00056678,             0.00056678,             0.00056678
                    103,                0.56676,                0.31836,                0.80202,                0.91461,                0.94888,                0.95955,                0.66932,                0.97981,                0.42005,                0.85204,             0.00055578,             0.00055578,             0.00055578
                    104,                0.61966,                0.34631,                0.80795,                0.93216,                0.92754,                0.94949,                0.67174,                 0.9718,                 0.4176,                0.85058,             0.00054478,             0.00054478,             0.00054478
                    105,                0.60096,                0.33238,                0.81011,                0.96132,                0.90435,                0.95007,                0.65695,                0.97423,                0.41939,                0.85216,             0.00053377,             0.00053377,             0.00053377
                    106,                0.59796,                0.32879,                0.80991,                0.92275,                0.94531,                0.95587,                0.65516,                0.99291,                0.42367,                0.85532,             0.00052277,             0.00052277,             0.00052277
                    107,                 0.5836,                0.32574,                0.80658,                 0.9326,                 0.9375,                0.95559,                0.65749,                0.98055,                0.43376,                0.85482,             0.00051177,             0.00051177,             0.00051177
                    108,                0.57732,                0.31619,                0.79869,                0.94862,                0.92767,                0.95347,                0.64538,                  1.028,                0.44614,                0.85626,             0.00050077,             0.00050077,             0.00050077
                    109,                0.59506,                0.33729,                0.79996,                0.92291,                0.92951,                0.95168,                0.66325,                 1.0054,                0.43704,                0.85603,             0.00048976,             0.00048976,             0.00048976
                    110,                0.58511,                0.32319,                0.79859,                0.93608,                0.91306,                0.95269,                0.64859,                 1.0043,                0.42756,                0.85717,             0.00047876,             0.00047876,             0.00047876
                    111,                0.60384,                0.32883,                0.80145,                0.92899,                0.92561,                0.94821,                0.64473,                 1.0002,                0.42397,                0.85699,             0.00046776,             0.00046776,             0.00046776
                    112,                0.58235,                0.31996,                0.80279,                0.92711,                0.93155,                0.95192,                0.64997,                0.97719,                0.42225,                 0.8504,             0.00045676,             0.00045676,             0.00045676
                    113,                0.58442,                0.32123,                0.80799,                0.94634,                0.93523,                0.95891,                0.66183,                0.99178,                0.42793,                0.85257,             0.00044576,             0.00044576,             0.00044576
                    114,                0.58862,                0.32423,                0.80731,                0.92973,                0.94041,                0.95839,                0.66117,                0.98767,                0.42378,                0.85201,             0.00043475,             0.00043475,             0.00043475
                    115,                0.55909,                0.30904,                0.79985,                0.92385,                0.94246,                0.95971,                0.66062,                0.98504,                0.42831,                0.85562,             0.00042375,             0.00042375,             0.00042375
                    116,                0.57298,                0.30637,                0.80461,                0.93039,                0.90625,                0.95278,                0.66431,                 1.0036,                0.43367,                0.85573,             0.00041275,             0.00041275,             0.00041275
                    117,                0.56864,                0.31082,                 0.7995,                0.93589,                0.92969,                0.95864,                 0.6566,                 0.9999,                 0.4273,                0.85617,             0.00040175,             0.00040175,             0.00040175
                    118,                 0.5592,                0.31393,                0.79704,                0.93649,                0.92777,                0.95994,                0.67182,                0.96879,                0.43481,                0.85158,             0.00039074,             0.00039074,             0.00039074
                    119,                0.55047,                0.30836,                0.80355,                0.91811,                0.92188,                0.95044,                 0.6739,                0.95766,                0.41734,                0.84853,             0.00037974,             0.00037974,             0.00037974
